handle,name,url,category,kind,languages,why,source_urls,source_methods,source_checked_at,notes
1X_Tech,1X,https://x.com/1X_Tech,robotics,organization,en,家庭机器人与具身智能产品动态。,https://1x.tech/,owner-link,2026-09-13,
abacaj,anton,https://x.com/abacaj,infra,person,en,本地模型、推理工程与 AI 开发实验。,https://x.com/abacaj/with_replies,x-index,2026-09-13,
AI21Labs,AI21 Labs,https://x.com/AI21Labs,labs,organization,en,语言模型与企业 AI 产品资料。,https://x.com/AI21Labs/with_replies,x-index,2026-09-13,
AIatMeta,AI at Meta,https://x.com/AIatMeta,labs,organization,en,模型、开放 AI 与研究工作的官方动态。,https://x.com/metaai/with_replies,owner-link,2026-09-13,
Alibaba_Qwen,Qwen,https://x.com/Alibaba_Qwen,labs,organization,en,开放模型、多模态能力与技术报告。,https://x.com/Alibaba_Qwen/status/1957502851888083197,x-index,2026-09-13,
allen_ai,Ai2,https://x.com/allen_ai,labs,organization,en,开放模型、科学 AI 与研究工具。,https://x.com/allen_ai/status/1798440545574158768,x-index,2026-09-13,
altryne,Alex Volkov,https://x.com/altryne,creative,person,en,生成式 AI 工具、原型与创作实践。,https://x.com/altryne/status/2033954681752588308,x-index,2026-09-13,
amanrsanger,Aman Sanger,https://x.com/amanrsanger,coding,person,en,AI 编程产品、代码库理解与开发体验。,https://x.com/amanrsanger/with_replies,x-index,2026-09-13,
AndrewYNg,Andrew Ng,https://x.com/AndrewYNg,research,person,en,机器学习教育、AI 应用开发与行业观察。,https://x.com/AndrewYNg/status/1405622853735649284,x-index,2026-09-13,
AnthropicAI,Anthropic,https://x.com/AnthropicAI,labs,organization,en,模型能力、安全研究与开发资料。,https://x.com/AnthropicAI/with_replies?lang=ar,x-index,2026-09-13,
AravSrinivas,Aravind Srinivas,https://x.com/AravSrinivas,founders,person,en,AI 搜索、信息产品与应用体验。,https://x.com/AravSrinivas/status/1958385027185877066,x-index,2026-09-13,
AxtonLiu,Axton,https://x.com/AxtonLiu,chinese,person,zh,AI 工具使用、自动化与产品实践分享。,https://x.com/AxtonLiu/status/2038753399865544778,x-index,2026-09-13,
bcherny,Boris Cherny,https://x.com/bcherny,coding,person,en,编码 Agent 产品与开发工作流经验。,https://x.com/bcherny/with_replies,x-index,2026-09-13,
camenduru,camenduru,https://x.com/camenduru,creative,person,en,图像、视频与多模态开源模型运行资源。,https://hub.docker.com/u/camenduru,owner-link,2026-09-13,
chelseabfinn,Chelsea Finn,https://x.com/chelseabfinn,robotics,person,en,机器人学习、元学习与泛化研究。,https://x.com/chelseabfinn/status/1894833652145758685,x-index,2026-09-13,
chipro,Chip Huyen,https://x.com/chipro,agents,person,en,AI 系统设计、评测与模型应用工程。,https://x.com/chipro/status/1186651526338465792,x-index,2026-09-13,
cohere,Cohere,https://x.com/cohere,labs,organization,en,企业语言模型、检索与应用技术资料。,https://mobile.x.com/cohere/affiliates,x-index,2026-09-13,
DeepLearningAI,DeepLearning.AI,https://x.com/DeepLearningAI,media,organization,en,机器学习课程、AI 教育与技术资讯。,https://x.com/DeepLearningAI/status/2023472681442509285,x-index,2026-09-13,较新的 X 页面使用 @DeepLearningAI；早期资料中的用户名带末尾下划线。
deepseek_ai,DeepSeek,https://x.com/deepseek_ai,labs,organization,en,模型与研究进展的官方发布。,https://play.google.com/store/apps/details?hl=en_US&id=com.deepseek.chat,owner-link,2026-09-13,
demishassabis,Demis Hassabis,https://x.com/demishassabis,research,person,en,通用人工智能、科学发现与研究进展。,https://x.com/demishassabis/with_replies?lang=en,x-index,2026-09-13,
Dorialexander,Alexander Doria,https://x.com/Dorialexander,creative,person,en,生成式模型、AI 创作与技术观察。,https://x.com/Dorialexander/status/2043748441021407320,x-index,2026-09-13,
dotey,宝玉,https://x.com/dotey,chinese,person,zh,中文 AI 技术解读、编程实践与资料翻译。,https://x.com/dotey/status/2034299374172319875,x-index,2026-09-13,
drfeifei,Fei-Fei Li,https://x.com/drfeifei,research,person,en,计算机视觉、空间智能与以人为本的 AI。,https://www-cs.stanford.edu/groups/vision/people.html,owner-link,2026-09-13,
DrJimFan,Jim Fan,https://x.com/DrJimFan,robotics,person,en,具身智能、机器人学习与仿真研究。,https://x.com/DrJimFan/status/1762888644933902681,x-index,2026-09-13,
eladgil,Elad Gil,https://x.com/eladgil,founders,person,en,AI 创业、企业应用与技术产业观察。,https://x.com/eladgil/status/1828992767336558993,x-index,2026-09-13,
ElevenLabs,ElevenLabs,https://x.com/ElevenLabs,creative,organization,en,语音合成、音频生成与语音 Agent 动态。,https://x.com/ElevenLabs/with_replies,x-index,2026-09-13,
emollick,Ethan Mollick,https://x.com/emollick,media,person,en,生成式 AI 使用实验、工作与教育观察。,https://x.com/emollick/status/1836488274333884490,x-index,2026-09-13,
eugeneyan,Eugene Yan,https://x.com/eugeneyan,agents,person,en,推荐系统、LLM 应用与生产系统经验。,https://eugeneyan.com/,owner-link,2026-09-13,
fchollet,François Chollet,https://x.com/fchollet,research,person,en,深度学习、智能评测与泛化能力讨论。,https://x.com/fchollet/status/2036551534549643444,x-index,2026-09-13,
fofrAI,fofr,https://x.com/fofrAI,creative,person,en,图像与视频生成模型的实践和开源实验。,https://linktr.ee/fofrai,owner-link,2026-09-13,
Francis_YAO_,Yao Fu,https://x.com/Francis_YAO_,llm,person,en,语言模型训练、推理与研究分析。,https://yaofu.notion.site/,owner-link,2026-09-13,X 用户名依据个人博客链接核对，与 GitHub 用户名不同。
GaryMarcus,Gary Marcus,https://x.com/GaryMarcus,media,person,en,AI 能力边界、可靠性与批判性分析。,https://x.com/GaryMarcus/status/1684415274500644867,x-index,2026-09-13,
geoffreyhinton,Geoffrey Hinton,https://x.com/geoffreyhinton,research,person,en,深度学习基础、模型能力与风险讨论。,https://x.com/geoffreyhinton/with_replies,x-index,2026-09-13,
ggerganov,Georgi Gerganov,https://x.com/ggerganov,infra,person,en,本地推理、量化与轻量模型运行时。,https://x.com/ggerganov/status/1952978670328660152,x-index,2026-09-13,
goodfellow_ian,Ian Goodfellow,https://x.com/goodfellow_ian,research,person,en,深度学习、生成模型与机器学习研究。,https://x.com/goodfellow_ian/status/1554836790736916480,x-index,2026-09-13,
GoogleAI,Google AI,https://x.com/GoogleAI,labs,organization,en,AI 研究、工具与产品的官方动态。,https://x.com/GoogleAI/status/1858961530009657760,x-index,2026-09-13,
GoogleDeepMind,Google DeepMind,https://x.com/GoogleDeepMind,robotics,organization,en,多模态模型、机器人与 AI 科研进展。,https://x.com/GoogleDeepMind/status/2014352832099487989,x-index,2026-09-13,
Gorden_Sun,Gorden Sun,https://x.com/Gorden_Sun,chinese,person,zh,AI 模型、产品和工具的中文资讯整理。,https://x.com/Gorden_Sun/with_replies?lang=fr,x-index,2026-09-13,
HamelHusain,Hamel Husain,https://x.com/HamelHusain,agents,person,en,LLM 评测、错误分析与应用开发实践。,https://x.com/HamelHusain/status/2027886222161678845,x-index,2026-09-13,
hausman_k,Karol Hausman,https://x.com/hausman_k,robotics,person,en,机器人基础模型与通用机器人学习。,https://karolhausman.github.io/,owner-link,2026-09-13,
huggingface,Hugging Face,https://x.com/huggingface,infra,organization,en,模型、数据集、开源库与社区项目动态。,https://x.com/huggingface/with_replies,x-index,2026-09-13,
hwchase17,Harrison Chase,https://x.com/hwchase17,agents,person,en,Agent 编排、工具调用与 LangChain 生态。,https://x.com/hwchase17/status/2026313732947943877,x-index,2026-09-13,
ilyasut,Ilya Sutskever,https://x.com/ilyasut,research,person,en,深度学习研究与模型能力相关的一手观点。,https://x.com/ilyasut/with_replies,x-index,2026-09-13,
JayAlammar,Jay Alammar,https://x.com/JayAlammar,llm,person,en,用可视化解释 Transformer、嵌入和语言模型。,https://jalammar.github.io/,owner-link,2026-09-13,
jerryjliu0,Jerry Liu,https://x.com/jerryjliu0,agents,person,en,数据检索、知识库与 LlamaIndex 生态。,https://x.com/jerryjliu0/status/2041211035160600862,x-index,2026-09-13,
jxnlco,Jason Liu,https://x.com/jxnlco,agents,person,en,结构化抽取、LLM 工作流与评测实践。,https://x.com/jxnlco/status/2037968924499992786,x-index,2026-09-13,
